EID,SR,com,com2
2-s2.0-84986104250,"Faraj S et al., (2004) Information Technology & People",1,3
2-s2.0-22144438320,"Posner R, (2005) Journal of Economic Perspectives",1,3
2-s2.0-34250313717,"Perkmann M & Spicer A, (2007) Organization Studies",7,2
2-s2.0-38049164793,"Benneworth P & Hospers G, (2007) Environment and Planning C: Government and Policy",4,3
2-s2.0-85033449833,"Knoepfel P et al., (2007) Public Policy Analysis",3,1
2-s2.0-33847731009,"Lee S et al., (2007) Energy Policy",2,5
2-s2.0-51349150398,"Stephens J et al., (2008) Technological Forecasting and Social Change",2,3
2-s2.0-57649097838,"Melaina M & Bremson J, (2008) Energy Policy",2,4
2-s2.0-42949133393,"Eriksson E & Weber K, (2008) Technological Forecasting and Social Change",2,4
2-s2.0-62849117143,"Faber A & Frenken K, (2009) Technological Forecasting and Social Change",1,1
2-s2.0-77954362767,"Nye M & Hargreaves T, (2010) Journal of Industrial Ecology",5,2
2-s2.0-78651080340,"Hallegatte S & Corfee-Morlot J, (2011) Climatic Change",4,5
2-s2.0-84857417308,"Doloreux D & Shearmur R, (2012) Journal of Economic Geography",4,3
2-s2.0-84881669223,"Geelen D et al., (2013) Energy Policy",5,2
2-s2.0-84910597835,"Seidl D & Whittington R, (2014) Organization Studies",5,1
2-s2.0-84947035210,"Blue S et al., (2016) Critical Public Health",5,1
2-s2.0-0343340419,"Dehn M et al., (2000) Engineering Geology",NA,NA
2-s2.0-0034281930,"Van Den Bergh J & Gowdy J, (2000) Environmental and Resource Economics",1,3
2-s2.0-0036926627,"Wilson M & Howcroft D, (2002) European Journal of Information Systems",2,2
2-s2.0-0442281508,"Smith H, (2003) Regional Studies",1,1
2-s2.0-23844541969,"Lambin E, (2005) Global Environmental Change",2,3
2-s2.0-21744446630,"Radcliffe S, (2005) Progress in Human Geography",NA,NA
2-s2.0-33745929675,"Gualini E, (2006) European Planning Studies",4,2
2-s2.0-84887085615,"Land R & Meyer J, (2006) Overcoming Barriers to Student Understanding: T...",5,1
2-s2.0-84909326245,"Hakansson H & Waluszewski A, (2007) Knowledge and Innovation in Business and Indust...",1,2
2-s2.0-40149097726,"Jacobsson S, (2008) Energy Policy",2,5
2-s2.0-56249092058,"van den Bergh J, (2008) Journal of Economic Behavior and Organization",1,3
2-s2.0-68049099343,"Chilvers J, (2008) Science Technology and Human Values",3,4
2-s2.0-69249155055,"Dew N, (2009) Organization Studies",7,1
2-s2.0-77951177278,"Cozzens S et al., (2010) Technology Analysis and Strategic Management",1,2
2-s2.0-77955066019,"Pentland B et al., (2010) Organization Studies",1,3
2-s2.0-77958523230,"Perrini F et al., (2010) Entrepreneurship and Regional Development",7,1
2-s2.0-77953678675,"Pinkse J & Kolk A, (2010) Business Strategy and the Environment",2,4
2-s2.0-79951537385,"Sheppard E, (2011) Journal of Economic Geography",4,2
2-s2.0-84862211204,"Luthi S & Wustenhagen R, (2012) Energy Economics",2,6
2-s2.0-84858324300,"Dewald U & Truffer B, (2012) European Planning Studies",2,5
2-s2.0-84888011890,"Hall C, (2013) Journal of Sustainable Tourism",5,2
2-s2.0-84877346806,"Newell P & Mulvaney D, (2013) Geographical Journal",2,1
2-s2.0-84887093794,"Horbach J et al., (2013) Industry and Innovation",1,3
2-s2.0-84891826221,"Hess D, (2014) Research Policy",2,1
2-s2.0-84937979063,"Feola G, (2015) Ambio",2,1
2-s2.0-84923495413,"Smink M et al., (2015) Business Strategy and the Environment",2,1
2-s2.0-84907829598,"Kabisch N, (2015) Land Use Policy",2,3
2-s2.0-85052248904,"Yun J et al., (2016) Journal of Open Innovation: Technology, Market,...",1,2
2-s2.0-0012887764,"Blind K & Grupp H, (1999) Research Policy",1,3
2-s2.0-0039248729,"Agarwal R & Gort M, (2001) Journal of Law and Economics",1,4
2-s2.0-0034772958,"Korhonen J et al., (2001) Ecological Economics",3,6
2-s2.0-0036001420,"Idso S et al., (2002) Atmospheric Environment",6,2
2-s2.0-0141906812,"Cumbers A et al., (2003) European Urban and Regional Studies",4,4
2-s2.0-33745123906,"Lohan M & Faulkner W, (2004) Men and Masculinities",2,2
2-s2.0-2642514802,"Parkinson J, (2004) Public Administration",3,1
2-s2.0-33845919017,"Doherty N et al., (2006) European Journal of Information Systems",2,2
2-s2.0-33846398562,"Held A et al., (2006) Energy and Environment",2,6
2-s2.0-33746778772,"Paraskevas A, (2006) Management Decision",3,5
2-s2.0-34347227403,"Meadowcroft J, (2007) European Environment",3,4
2-s2.0-61849097815,"Chen L, (2009) Research Policy",1,3
2-s2.0-70349300169,"Currie W, (2009) Information Technology and People",7,2
2-s2.0-69849087173,"Boyd E, (2009) Environment and Planning A",3,3
2-s2.0-77956926246,"Domnech L & Sauri D, (2010) Resources, Conservation and Recycling",2,3
2-s2.0-77954649332,"Lovell H & Liverman D, (2010) New Political Economy",2,2
2-s2.0-78549250685,"Mulugetta Y et al., (2010) Energy Policy",2,1
2-s2.0-79956354491,"Dewald U & Truffer B, (2011) Industry and Innovation",2,5
2-s2.0-84930483170,"Hopkins T et al., (2011) Ecology and Society",3,5
2-s2.0-79961222219,"Nelson D, (2011) Wiley Interdisciplinary Reviews: Climate Change",3,2
2-s2.0-84925817355,"Devine-Wright P, (2012) Governing Technology for Sustainability",5,2
2-s2.0-84879503980,"O'Mahony T, (2013) Energy Policy",2,4
2-s2.0-84874311414,"Dergiades T et al., (2013) Energy Economics",NA,NA
2-s2.0-84897868535,"Yildiz O, (2014) Renewable Energy",2,4
2-s2.0-84924908023,"Treib O, (2014) Living Reviews in European Governance",3,1
2-s2.0-84908565123,"Galloway J et al., (2014) Environmental Research Letters",NA,NA
2-s2.0-0031824160,"Dooley J, (1998) Energy Policy",NA,NA
2-s2.0-0000527374,"Peretto P, (1999) Journal of Monetary Economics",1,3
2-s2.0-0012561674,"Heil M & Selden T, (2001) Environment and Development Economics",6,3
2-s2.0-17844376774,"Beer A et al., (2005) Geographical Research",4,2
2-s2.0-84881795329,"Stirling A, (2006) Reflexive Governance for Sustainable Development",2,2
2-s2.0-33745588595,"Sahin A et al., (2006) International Journal of Energy Research",NA,NA
2-s2.0-33746819843,"May P et al., (2006) Policy Studies Journal",3,1
2-s2.0-36549066733,"Hegger D et al., (2007) Technology Analysis and Strategic Management",2,3
2-s2.0-33845455567,"Raven R, (2007) Energy Policy",2,4
2-s2.0-34548120572,"Wallington T et al., (2007) Environmental Impact Assessment Review",3,1
2-s2.0-65249089898,"Lebel L & Lorek S, (2008) Annual Review of Environment and Resources",5,3
2-s2.0-39749086272,"Choi Y et al., (2008) Journal of Business Venturing",7,1
2-s2.0-41749115473,"Hong W, (2008) Research Policy",1,1
2-s2.0-38349188618,"Donzelot J, (2008) Economy and Society",3,7
2-s2.0-72449144656,"Hendriks C, (2009) Policy Sciences",3,1
2-s2.0-70449553885,"Loftus A, (2009) Third World Quarterly",3,3
2-s2.0-74149088760,"Guidolin M & Mortarino C, (2010) Technological Forecasting and Social Change",2,6
2-s2.0-80855147722,"Gifford R et al., (2011) Wiley Interdisciplinary Reviews: Climate Change",5,2
2-s2.0-84867516948,"Strambach S & Klement B, (2012) European Planning Studies",4,3
2-s2.0-84868195346,"Bomberg E & McEwen N, (2012) Energy Policy",2,6
2-s2.0-84865802251,"Scheidel A & Sorman A, (2012) Global Environmental Change",3,5
2-s2.0-84889887211,"Turnheim B & Geels F, (2013) Research Policy",2,1
2-s2.0-84887362626,"Southerton D, (2013) Time & Society",5,1
2-s2.0-84866318735,"Martin R & Moodysson J, (2013) European Urban and Regional Studies",4,3
2-s2.0-84890548395,"Hohne N et al., (2014) Climate Policy",NA,NA
2-s2.0-0033097978,"Hawkins R, (1999) Telecommunications Policy",1,4
2-s2.0-0033180564,"Gjerde J et al., (1999) Resource and Energy Economics",6,3
2-s2.0-0034353947,"Loasby B, (2000) Journal of Evolutionary Economics",1,3
2-s2.0-0035443377,"Jones P & Reid P, (2001) International Journal of Climatology",6,2
2-s2.0-0036076926,"Bathelt H, (2002) European Planning Studies",4,4
2-s2.0-0042659454,"Chandy R et al., (2003) Journal of Marketing",1,2
2-s2.0-0037657973,"Van Looy B et al., (2003) R and D Management",1,3
2-s2.0-0037412098,"Larson E et al., (2003) Energy Policy",6,3
2-s2.0-11144254446,"Tsikriktsis N et al., (2004) Production and Operations Management",1,2
2-s2.0-10444285083,"Simon G et al., (2004) Long Range Planning",1,2
2-s2.0-3242745067,"Earl P & Potts J, (2004) Cambridge Journal of Economics",4,1
2-s2.0-13244249861,"Chen K & Liu R, (2005) Technovation",1,2
2-s2.0-33645573299,"Garud R et al., (2006) Organization Science",1,2
2-s2.0-37349107052,"Lagendijk A, (2007) Regional Studies",4,2
2-s2.0-43049149079,"Konrad K et al., (2008) Journal of Cleaner Production",2,4
2-s2.0-62549133079,"Robertson P et al., (2009) Research Policy",1,2
2-s2.0-77951164603,"Ruef A & Markard J, (2010) Technology Analysis and Strategic Management",2,5
2-s2.0-79958015917,"Stirling A, (2011) Environmental Innovation and Societal Transitions",2,1
2-s2.0-79955462790,"Quist J et al., (2011) Technological Forecasting and Social Change",2,3
2-s2.0-79952422750,"Sundberg J, (2011) Annals of the Association of American Geographers",3,3
2-s2.0-84867375417,"Christen M & Schmidt S, (2012) Sustainable Development",3,6
2-s2.0-84856265675,"Yadoo A & Cruickshank H, (2012) Energy Policy",7,3
2-s2.0-84868494609,"Rijke J et al., (2013) Environmental Science and Policy",2,3
2-s2.0-84879415149,"Loorbach D & Wijsman K, (2013) Journal of Cleaner Production",2,3
2-s2.0-84892369079,"Dawley S, (2014) Economic Geography",4,2
2-s2.0-0032025620,"Dones R & Frischknecht R, (1998) Progress in Photovoltaics: Research and Applica...",NA,NA
2-s2.0-0033320135,"Azar C & Dowlatabadi H, (1999) Annual Review of Energy and the Environment",6,3
2-s2.0-0033800229,"Foster C & Green K, (2000) Business Strategy and the Environment",2,4
2-s2.0-0034018842,"Smith A, (2000) Environment and Planning C: Government and Policy",NA,NA
2-s2.0-84993728803,"Wajcman J, (2002) Current Sociology",2,2
2-s2.0-0037288712,"Freund P, (2003) Proceedings of the Institution of Mechanical En...",6,2
2-s2.0-0142149015,"Lyytinen K & Rose G, (2003) Information Systems Journal",1,2
2-s2.0-84921277323,"Patriotta G, (2004) Organizational Knowledge in the Making: How Fir...",1,2
2-s2.0-34248035351,"Torfing J, (2005) European Political Science",3,1
2-s2.0-34548304566,"Geels F, (2007) Technological Forecasting and Social Change",2,4
2-s2.0-35248835600,"Dell'era C & Verganti R, (2007) Journal of Product Innovation Management",1,2
2-s2.0-33847736611,"Hanusch H & Pyka A, (2007) Cambridge Journal of Economics",1,4
2-s2.0-33947404390,"Loftus A, (2007) International Journal of Urban and Regional Res...",3,3
2-s2.0-43049129286,"Gram-Hanssen K, (2008) Journal of Cleaner Production",5,1
2-s2.0-42149100437,"Saviotti P & Frenken K, (2008) Journal of Evolutionary Economics",1,1
2-s2.0-67349187404,"Dolata U, (2009) Research Policy",2,1
2-s2.0-70349789736,"Barr S et al., (2009) Academy of Management Learning and Education",7,1
2-s2.0-70349103676,"Nygren E et al., (2009) Energy Policy",NA,NA
2-s2.0-78651501266,"Crona B & Hubacek K, (2010) Ecology and Society",3,2
2-s2.0-79955025940,"Hooghe L & Marks G, (2010) Handbook on Multi-level Governance",3,1
2-s2.0-79251514671,"Farole T et al., (2011) Progress in Human Geography",4,4
2-s2.0-80155192458,"Banister D et al., (2011) Annual Review of Environment and Resources",2,4
2-s2.0-84867101429,"Wells P & Nieuwenhuis P, (2012) Technological Forecasting and Social Change",2,4
2-s2.0-84855359244,"Brunori G et al., (2012) Sociologia Ruralis",2,3
2-s2.0-84871929429,"Barth M & Michelsen G, (2013) Sustainability Science",3,2
2-s2.0-84878886130,"Bergek A et al., (2013) Research Policy",1,2
2-s2.0-84888035257,"Carlsson B et al., (2013) Small Business Economics",7,1
2-s2.0-84886726438,"Fisher J et al., (2013) Global Environmental Change",3,2
2-s2.0-84881358154,"Kaiser P et al., (2013) Chemie-Ingenieur-Technik",NA,NA
2-s2.0-84886723432,"Corner A et al., (2013) Global Environmental Change",3,4
2-s2.0-84910139431,"Wiek A & Iwaniec D, (2014) Sustainability Science",3,2
2-s2.0-84923458529,"Howlett M, (2014) Global Environmental Change",3,1
2-s2.0-84909588032,"Capellan-Perez I et al., (2014) Energy",6,4
2-s2.0-84901586533,"Taher H et al., (2014) Biomass and Bioenergy",NA,NA
2-s2.0-84937438257,"Rodriguez-Pose A & di Cataldo M, (2015) Journal of Economic Geography",4,3
2-s2.0-0033451088,"Margolis R & Kammen D, (1999) Energy Policy",NA,NA
2-s2.0-0034228135,"Hasu M & Engestrom Y, (2000) International Journal of Human Computer Studies",1,1
2-s2.0-0034087902,"Rotmans J et al., (2000) Environmental Impact Assessment Review",NA,NA
2-s2.0-0035062620,"van Soest D & Bulte E, (2001) Environmental and Resource Economics",6,2
2-s2.0-0035096935,"Burstrm F & Korhonen J, (2001) Sustainable Development",3,6
2-s2.0-0036187076,"Pavitt K, (2002) Industrial and Corporate Change",1,2
2-s2.0-0142135940,"von Tunzelmann N, (2003) Structural Change and Economic Dynamics",1,3
2-s2.0-26444562324,"Lefebvre L et al., (2005) Technovation",1,3
2-s2.0-84892288081,"Liefferink D, (2006) Institutional Dynamics in Environmental Governance",3,1
2-s2.0-32044473492,"Marques J et al., (2006) Technovation",1,1
2-s2.0-33750490800,"Nelson R, (2006) Journal of Evolutionary Economics",1,3
2-s2.0-34447302624,"Raven R & Verbong G, (2007) Technology Analysis and Strategic Management",2,4
2-s2.0-36849092120,"Freeman R, (2007) Administration & Society",3,1
2-s2.0-65349130750,"Morrison K, (2008) Educational Philosophy and Theory",3,5
2-s2.0-84881979007,"Camagni R, (2009) Handbook of Regional Growth and Development The...",1,3
2-s2.0-84974837212,"Carrillo-Hermosilla J et al., (2009) Eco-Innovation: When Sustainability and Competi...",2,5
2-s2.0-62749120102,"Malik O & Kotabe M, (2009) Journal of Management Studies",1,2
2-s2.0-54249163352,"Oltra V & Saint Jean M, (2009) Journal of Cleaner Production",1,4
2-s2.0-58249140922,"Rangan H & Kull C, (2009) Progress in Human Geography",3,3
2-s2.0-63249088183,"Lu H et al., (2009) Chemical Engineering Science",NA,NA
2-s2.0-76749127982,"Islam N & Miyazaki K, (2010) Technovation",1,1
2-s2.0-77951769236,"Safarzynska K & van den Bergh J, (2010) Journal of Evolutionary Economics",1,3
2-s2.0-85033479566,"Hoppe R, (2010) The Governance of Problems: Puzzling, Powering ...",3,1
2-s2.0-84917113109,"Bhaskar R et al., (2010) Interdisciplinarity and Climate Change: Transfo...",3,2
2-s2.0-80054858356,"Solomon B & Krishna K, (2011) Energy Policy",2,1
2-s2.0-80052963616,"Alvial-Palavicino C et al., (2011) Energy for Sustainable Development",2,6
2-s2.0-79953064287,"Vergne J & Durand R, (2011) Organization Studies",1,4
2-s2.0-79961230252,"Evers N & O'Gorman C, (2011) Entrepreneurship and Regional Development",7,1
2-s2.0-84906437970,"Verbong G & Loorbach D, (2012) Governing the Energy Transition: Reality, Illus...",2,5
2-s2.0-84859214204,"Scott K et al., (2012) Design Studies",5,3
2-s2.0-80052733358,"Kalkuhl M et al., (2012) Resource and Energy Economics",6,1
2-s2.0-84861372893,"Posen H & Levinthal D, (2012) Management Science",1,3
2-s2.0-84857964870,"Huber F, (2012) Regional Studies",4,3
2-s2.0-84859769916,"Nerlich B & Jaspal R, (2012) Metaphor and Symbol",3,4
2-s2.0-84886724502,"Ornetzeder M & Rohracher H, (2013) Global Environmental Change",2,5
2-s2.0-84874331265,"Hargreaves T et al., (2013) Environment and Planning A",2,1
2-s2.0-84878629759,"Schmidt J & Keil T, (2013) Academy of Management Review",1,2
2-s2.0-84919555386,"Barry A & Born G, (2013) Interdisciplinarity: Reconfigurations of the So...",3,4
2-s2.0-84872375617,"Notteboom T et al., (2013) Journal of Transport Geography",4,2
2-s2.0-84935033236,"Geels F et al., (2015) Global Environmental Change",2,4
2-s2.0-84938485917,"Luque-Ayala A & Marvin S, (2015) Urban Studies",2,2
2-s2.0-84959560007,"Raven R et al., (2016) Environmental Innovation and Societal Transitions",2,1
2-s2.0-85004130326,"Fujimori S et al., (2017) Global Environmental Change",6,4
2-s2.0-0033320339,"Grubler A et al., (1999) Annual Review of Energy and the Environment",1,4
2-s2.0-0032763481,"Ziska L et al., (1999) Weed Science",6,2
2-s2.0-0033298514,"Oinas P, (1999) GeoJournal",4,4
2-s2.0-0034035429,"Miller C, (2000) Environmental Values",3,1
2-s2.0-84986134491,"Mumford E, (2001) Information Technology & People",NA,NA
2-s2.0-0037110245,"Markowicz K et al., (2002) Geophysical Research Letters",6,2
2-s2.0-0037409275,"Corral C, (2003) Journal of Cleaner Production",1,3
2-s2.0-0037828016,"Weed M, (2003) Journal of Sport Management",NA,NA
2-s2.0-1842632685,"Mohammed S & Williamson J, (2004) Explorations in Economic History",NA,NA
2-s2.0-3042806466,"Hovav A et al., (2004) Information Systems Journal",1,4
2-s2.0-10044278352,"Drejer I & Jorgensen B, (2005) Technovation",1,3
2-s2.0-33745685258,"Crosby B & Bryson J, (2005) Public Management Review",3,1
2-s2.0-84925168672,"Jaccard M, (2006) Sustainable Fossil Fuels: The Unusual Suspect i...",6,1
2-s2.0-33747187480,"Varsakelis N, (2006) Research Policy",1,1
2-s2.0-44449143444,"Holtz G et al., (2008) Technological Forecasting and Social Change",2,3
2-s2.0-46949086516,"Negro S & Hekkert M, (2008) Technology Analysis and Strategic Management",2,5
2-s2.0-41849131022,"Swider D et al., (2008) Renewable Energy",NA,NA
2-s2.0-61849097232,"Calvert J & Martin P, (2009) EMBO Reports",NA,NA
2-s2.0-62949101103,"Janssen M et al., (2009) Government Information Quarterly",3,5
2-s2.0-63049098382,"Yeung H, (2009) Progress in Human Geography",4,4
2-s2.0-77951180263,"Nadai A & van der Horst D, (2010) Landscape Research",2,1
2-s2.0-75149126664,"Ropke I et al., (2010) Energy Policy",5,1
2-s2.0-74949114757,"Bassens D et al., (2010) Area",4,2
2-s2.0-77958453206,"Doll C & Pachauri S, (2010) Energy Policy",NA,NA
2-s2.0-79954476637,"Engle N et al., (2011) Ecology and Society",3,2
2-s2.0-84865267245,"Kohler C et al., (2012) Research Policy",1,3
2-s2.0-84865972098,"Cagnin C et al., (2012) Science and Public Policy",2,5
2-s2.0-84881292423,"Reed M et al., (2013) Ecological Economics",2,3
2-s2.0-84908221398,"Henning M et al., (2013) Regional Studies",4,2
2-s2.0-84886859840,"Autio E et al., (2013) Academy of Management Journal",7,1
2-s2.0-84879904164,"O'Brien K, (2013) Progress in Human Geography",5,2
2-s2.0-84923017802,"Tavoni M et al., (2015) Nature Climate Change",6,4
2-s2.0-84928956338,"Pfenninger S & Keirstead J, (2015) Applied Energy",NA,NA
2-s2.0-0032243724,"Heymann M, (1998) Technology and Culture",2,2
2-s2.0-0031773012,"Ocampo J & Taylor L, (1998) Economic Journal",4,1
2-s2.0-84859445200,"Young L & Wilkinson I, (1998) Journal of Business-to-Business Marketing",1,1
